Sample in Buffer,Sample in Window,TRIGGER,ila_data_rx[191:0],userdata_rx_0[31:0],userdata_rx_1[31:0],rxdata_ctr_0[15:0],rxdata_ctr_1[15:0],ch0_rxctrl2[7:0],ch1_rxctrl2[7:0],rxbyteisaligned_i[1:0],rxbyterealign_i[1:0],rxcommadet_i[1:0],prbs_match_i[1:0],rxdata_errctr_0[15:0],rxdata_errctr_1[15:0],rxdata_nmlctr_i[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
961,961,0,072c2be36a000c000cc00063000000004aad18414aad1841,4aad1841,4aad1841,0000,0000,63,00,0,0,0,3,000c,000c,072c2be36a
962,962,0,072c2be36b000c000cc0006300000000ee03a25bee03a25b,ee03a25b,ee03a25b,0000,0000,63,00,0,0,0,3,000c,000c,072c2be36b
963,963,0,072c2be36c000c000cc0006300000000761e14f7761e14f7,761e14f7,761e14f7,0000,0000,63,00,0,0,0,3,000c,000c,072c2be36c
964,964,0,072c2be36d000c000cc0006300000000f39114cbf39114cb,f39114cb,f39114cb,0000,0000,63,00,0,0,0,3,000c,000c,072c2be36d
965,965,0,072c2be36e000c000cc0006300000000e90e64d6e90e64d6,e90e64d6,e90e64d6,0000,0000,63,00,0,0,0,3,000c,000c,072c2be36e
966,966,0,072c2be36f000c000cc000630000000095e82bd995e82bd9,95e82bd9,95e82bd9,0000,0000,63,00,0,0,0,3,000c,000c,072c2be36f
967,967,0,072c2be370000c000cc00063000000005c5568ae5c5568ae,5c5568ae,5c5568ae,0000,0000,63,00,0,0,0,3,000c,000c,072c2be370
968,968,0,072c2be371000c000cc0006300000000f4101d22f4101d22,f4101d22,f4101d22,0000,0000,63,00,0,0,0,3,000c,000c,072c2be371
969,969,0,072c2be372000c000cc00063000000004ab6f0bc4ab6f0bc,4ab6f0bc,4ab6f0bc,0000,0000,63,00,0,0,0,3,000c,000c,072c2be372
970,970,0,072c2be373000c000cc00063000000007e0fe8aa7e0fe8aa,7e0fe8aa,7e0fe8aa,0000,0000,63,00,0,0,0,3,000c,000c,072c2be373
971,971,0,072c2be374000c000cc0006300000000c718f520c718f520,c718f520,c718f520,0000,0000,63,00,0,0,0,3,000c,000c,072c2be374
972,972,0,072c2be375000c000cc0006300000000c0020a3dc0020a3d,c0020a3d,c0020a3d,0000,0000,63,00,0,0,0,3,000c,000c,072c2be375
973,973,0,072c2be376000c000cc0006300000000b3feda42b3feda42,b3feda42,b3feda42,0000,0000,63,00,0,0,0,3,000c,000c,072c2be376
974,974,0,072c2be377000c000cc00063000000000d3f7f7a0d3f7f7a,0d3f7f7a,0d3f7f7a,0000,0000,63,00,0,0,0,3,000c,000c,072c2be377
975,975,0,072c2be378000c000cc000630000000029b3b7b529b3b7b5,29b3b7b5,29b3b7b5,0000,0000,63,00,0,0,0,3,000c,000c,072c2be378
976,976,0,072c2be379000c000cc000630000000009bd1f5e09bd1f5e,09bd1f5e,09bd1f5e,0000,0000,63,00,0,0,0,3,000c,000c,072c2be379
977,977,0,072c2be37a000c000cc00063000000002bbaa1a52bbaa1a5,2bbaa1a5,2bbaa1a5,0000,0000,63,00,0,0,0,3,000c,000c,072c2be37a
978,978,0,072c2be37b000c000cc00063000000001899053718990537,18990537,18990537,0000,0000,63,00,0,0,0,3,000c,000c,072c2be37b
979,979,0,072c2be37c000c000cc0006300000000023aed37023aed37,023aed37,023aed37,0000,0000,63,00,0,0,0,3,000c,000c,072c2be37c
980,980,0,072c2be37d000c000cc00063000000000ec127b70ec127b7,0ec127b7,0ec127b7,0000,0000,63,00,0,0,0,3,000c,000c,072c2be37d
981,981,0,072c2be37e000c000cc000630000000088737e5f88737e5f,88737e5f,88737e5f,0000,0000,63,00,0,0,0,3,000c,000c,072c2be37e
982,982,0,072c2be37f000c000cc00063000000006341773563417735,63417735,63417735,0000,0000,63,00,0,0,0,3,000c,000c,072c2be37f
