Sample in Buffer,Sample in Window,TRIGGER,ila_data[265:0],receiver_0[31:0],receiver_1[31:0],receiver_2[31:0],receiver_3[31:0],transmitter_0[31:0],transmitter_1[31:0],transmitter_2[31:0],transmitter_3[31:0],prbs_match_int[3:0],hb0_gtwiz_userclk_rx_usrclk2_int,hb0_gtwiz_userclk_rx_active_int,hb_gtwiz_reset_all_int,hb0_gtwiz_reset_rx_done_int,hb0_gtwiz_userclk_tx_usrclk2_int,hb0_gtwiz_userclk_tx_active_int
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
236,236,0,2a0bdc9f57cbdc9f57cbdc9f57cbdc9f57cbdc9f579bdc9f579bdc9f579bdc9f579,bdc9f579,bdc9f579,bdc9f579,bdc9f579,bdc9f57c,bdc9f57c,bdc9f57c,bdc9f57c,0,0,1,0,1,0,1
237,237,0,3b0bdc9f57dbdc9f57dbdc9f57dbdc9f57dbdc9f57abdc9f57abdc9f57abdc9f57a,bdc9f57a,bdc9f57a,bdc9f57a,bdc9f57a,bdc9f57d,bdc9f57d,bdc9f57d,bdc9f57d,0,1,1,0,1,1,1
238,238,0,3b0bdc9f57ebdc9f57ebdc9f57ebdc9f57ebdc9f57bbdc9f57bbdc9f57bbdc9f57b,bdc9f57b,bdc9f57b,bdc9f57b,bdc9f57b,bdc9f57e,bdc9f57e,bdc9f57e,bdc9f57e,0,1,1,0,1,1,1
239,239,0,3b0bdc9f57fbdc9f57fbdc9f57fbdc9f57fbdc9f57cbdc9f57cbdc9f57cbdc9f57c,bdc9f57c,bdc9f57c,bdc9f57c,bdc9f57c,bdc9f57f,bdc9f57f,bdc9f57f,bdc9f57f,0,1,1,0,1,1,1
240,240,0,2a0bdc9f580bdc9f580bdc9f580bdc9f580bdc9f57dbdc9f57dbdc9f57dbdc9f57d,bdc9f57d,bdc9f57d,bdc9f57d,bdc9f57d,bdc9f580,bdc9f580,bdc9f580,bdc9f580,0,0,1,0,1,0,1
241,241,0,2a0bdc9f581bdc9f581bdc9f581bdc9f581bdc9f57ebdc9f57ebdc9f57ebdc9f57e,bdc9f57e,bdc9f57e,bdc9f57e,bdc9f57e,bdc9f581,bdc9f581,bdc9f581,bdc9f581,0,0,1,0,1,0,1
242,242,0,3b0bdc9f582bdc9f582bdc9f582bdc9f582bdc9f57fbdc9f57fbdc9f57fbdc9f57f,bdc9f57f,bdc9f57f,bdc9f57f,bdc9f57f,bdc9f582,bdc9f582,bdc9f582,bdc9f582,0,1,1,0,1,1,1
243,243,0,3b0bdc9f583bdc9f583bdc9f583bdc9f583bdc9f580bdc9f580bdc9f580bdc9f580,bdc9f580,bdc9f580,bdc9f580,bdc9f580,bdc9f583,bdc9f583,bdc9f583,bdc9f583,0,1,1,0,1,1,1
244,244,0,3b0bdc9f584bdc9f584bdc9f584bdc9f584bdc9f581bdc9f581bdc9f581bdc9f581,bdc9f581,bdc9f581,bdc9f581,bdc9f581,bdc9f584,bdc9f584,bdc9f584,bdc9f584,0,1,1,0,1,1,1
245,245,0,2a0bdc9f585bdc9f585bdc9f585bdc9f585bdc9f582bdc9f582bdc9f582bdc9f582,bdc9f582,bdc9f582,bdc9f582,bdc9f582,bdc9f585,bdc9f585,bdc9f585,bdc9f585,0,0,1,0,1,0,1
